Timestamp,Temperature_Celsius,Relative_Humidity
2022-08-29 17:42:00,22.4,67
2022-08-29 17:57:00,22.4,67.7
2022-08-29 18:12:00,22.4,68.2
2022-08-29 18:27:00,22.5,68.5
2022-08-29 18:42:00,22.5,68.7
2022-08-29 18:57:00,22.5,68.9
2022-08-29 19:12:00,22.6,69
2022-08-29 19:27:00,22.6,69.1
2022-08-29 19:42:00,22.6,69.2
2022-08-29 19:57:00,22.7,69.3
2022-08-29 20:12:00,22.8,69.5
2022-08-29 20:27:00,22.9,69.7
2022-08-29 20:42:00,23,70
2022-08-29 20:57:00,23,70.1
2022-08-29 21:12:00,23.2,70.1
2022-08-29 21:27:00,23.2,70.1
2022-08-29 21:42:00,23.3,70.2
2022-08-29 21:57:00,23.4,70.3
2022-08-29 22:12:00,23.5,70.4
2022-08-29 22:27:00,23.5,70.5
2022-08-29 22:42:00,23.6,70.5
2022-08-29 22:57:00,23.7,70.6
2022-08-29 23:12:00,23.8,70.7
2022-08-29 23:27:00,23.8,70.7
2022-08-29 23:42:00,23.9,70.8
2022-08-29 23:57:00,24,70.8
2022-08-30 00:12:00,24,70.8
2022-08-30 00:27:00,24,70.9
2022-08-30 00:42:00,24.1,71
2022-08-30 00:57:00,24.2,71
2022-08-30 01:12:00,24.2,71.1
2022-08-30 01:27:00,24.3,71.2
2022-08-30 01:42:00,24.3,71.1
2022-08-30 01:57:00,24.4,71.2
2022-08-30 02:12:00,24.4,71.2
2022-08-30 02:27:00,24.5,71.3
2022-08-30 02:42:00,24.5,71.3
2022-08-30 02:57:00,24.5,71.3
2022-08-30 03:12:00,24.5,71.4
2022-08-30 03:27:00,24.5,71.5
2022-08-30 03:42:00,24.6,71.4
2022-08-30 03:57:00,24.6,71.4
2022-08-30 04:12:00,24.6,71.4
2022-08-30 04:27:00,24.6,71.3
2022-08-30 04:42:00,24.5,71.2
2022-08-30 04:57:00,24.5,71.3
2022-08-30 05:12:00,24.5,71.3
2022-08-30 05:27:00,24.4,71.3
2022-08-30 05:42:00,24.3,71.3
2022-08-30 05:57:00,24.3,71.3
2022-08-30 06:12:00,24.3,71.3
2022-08-30 06:27:00,24.2,71.3
2022-08-30 06:42:00,24.2,71.3
2022-08-30 06:57:00,24.1,71.3
2022-08-30 07:12:00,24.1,71.3
